time: 134.33 	 beatNum: 3
time: 135.02 	 beatNum: 4
time: 135.70 	 beatNum: 1
time: 136.39 	 beatNum: 2
time: 137.09 	 beatNum: 3
time: 137.79 	 beatNum: 4
time: 138.48 	 beatNum: 1
time: 139.16 	 beatNum: 2
time: 139.85 	 beatNum: 3
time: 140.53 	 beatNum: 4
time: 141.25 	 beatNum: 1
time: 141.92 	 beatNum: 2
time: 142.59 	 beatNum: 3
time: 143.31 	 beatNum: 4
time: 143.99 	 beatNum: 1
time: 144.68 	 beatNum: 2
time: 145.38 	 beatNum: 3
time: 146.05 	 beatNum: 4
time: 146.75 	 beatNum: 1
time: 147.45 	 beatNum: 2
time: 148.14 	 beatNum: 3
time: 148.84 	 beatNum: 4
time: 149.54 	 beatNum: 5
time: 150.23 	 beatNum: 1
time: 150.93 	 beatNum: 2
time: 151.63 	 beatNum: 3
time: 152.30 	 beatNum: 1
time: 153.00 	 beatNum: 2
time: 153.69 	 beatNum: 3
time: 154.39 	 beatNum: 4
time: 155.06 	 beatNum: 1
time: 155.76 	 beatNum: 2
time: 156.46 	 beatNum: 3
time: 157.13 	 beatNum: 4
time: 157.83 	 beatNum: 1
time: 158.52 	 beatNum: 2
time: 159.22 	 beatNum: 3
time: 159.89 	 beatNum: 4
time: 160.59 	 beatNum: 1
time: 161.29 	 beatNum: 2
time: 161.98 	 beatNum: 3
time: 162.68 	 beatNum: 4
time: 163.35 	 beatNum: 1
time: 164.05 	 beatNum: 2
time: 164.75 	 beatNum: 3
time: 165.42 	 beatNum: 4
time: 166.12 	 beatNum: 1
time: 166.81 	 beatNum: 2
time: 167.51 	 beatNum: 3
time: 168.20 	 beatNum: 4
time: 168.90 	 beatNum: 1
time: 169.57 	 beatNum: 2
time: 170.27 	 beatNum: 3
time: 170.97 	 beatNum: 4
time: 171.66 	 beatNum: 1
time: 172.36 	 beatNum: 2
time: 173.03 	 beatNum: 3
time: 173.75 	 beatNum: 4
time: 174.43 	 beatNum: 1
time: 175.12 	 beatNum: 2
time: 175.80 	 beatNum: 3
time: 176.52 	 beatNum: 4
time: 177.19 	 beatNum: 1
time: 177.89 	 beatNum: 2
time: 178.56 	 beatNum: 3
time: 179.26 	 beatNum: 4
time: 179.95 	 beatNum: 1
time: 180.65 	 beatNum: 2
time: 181.35 	 beatNum: 3
time: 182.04 	 beatNum: 4
time: 182.72 	 beatNum: 5
time: 183.41 	 beatNum: 1
time: 184.11 	 beatNum: 2
time: 184.83 	 beatNum: 3
time: 185.50 	 beatNum: 1
time: 186.18 	 beatNum: 2
time: 186.87 	 beatNum: 3
time: 187.57 	 beatNum: 4
time: 188.27 	 beatNum: 1
time: 188.94 	 beatNum: 2
time: 189.64 	 beatNum: 3
time: 190.36 	 beatNum: 4
time: 191.03 	 beatNum: 1
time: 191.73 	 beatNum: 2
time: 192.42 	 beatNum: 3
time: 193.14 	 beatNum: 4
time: 193.79 	 beatNum: 1
time: 194.49 	 beatNum: 2
time: 195.16 	 beatNum: 3
time: 195.88 	 beatNum: 4
time: 196.56 	 beatNum: 1
time: 197.25 	 beatNum: 2
time: 197.93 	 beatNum: 3
time: 198.65 	 beatNum: 4
time: 199.32 	 beatNum: 1
time: 200.02 	 beatNum: 2
time: 200.69 	 beatNum: 3
time: 201.41 	 beatNum: 4
time: 202.11 	 beatNum: 1
time: 202.78 	 beatNum: 2
time: 203.48 	 beatNum: 3
time: 204.17 	 beatNum: 4
time: 204.87 	 beatNum: 1
time: 205.54 	 beatNum: 2
time: 206.24 	 beatNum: 3
time: 206.94 	 beatNum: 4
time: 207.61 	 beatNum: 5
time: 208.31 	 beatNum: 1
time: 208.98 	 beatNum: 1
time: 209.70 	 beatNum: 2
time: 210.21 	 beatNum: 3
time: 210.95 	 beatNum: 4
time: 211.65 	 beatNum: 1
time: 212.35 	 beatNum: 2
time: 213.07 	 beatNum: 3
time: 213.76 	 beatNum: 4
time: 214.44 	 beatNum: 1
time: 215.13 	 beatNum: 2
time: 215.83 	 beatNum: 3
time: 216.50 	 beatNum: 4
time: 217.20 	 beatNum: 1
time: 217.89 	 beatNum: 2
time: 218.57 	 beatNum: 3
time: 219.26 	 beatNum: 4
time: 219.94 	 beatNum: 5
time: 220.63 	 beatNum: 1
time: 221.33 	 beatNum: 2
time: 222.03 	 beatNum: 3
time: 222.70 	 beatNum: 1
time: 223.40 	 beatNum: 2
time: 224.09 	 beatNum: 3
time: 224.79 	 beatNum: 4
time: 225.49 	 beatNum: 1
time: 226.18 	 beatNum: 2
time: 226.88 	 beatNum: 3
time: 227.55 	 beatNum: 4
time: 228.25 	 beatNum: 1
time: 228.95 	 beatNum: 2
time: 229.64 	 beatNum: 3
time: 230.34 	 beatNum: 4
time: 231.04 	 beatNum: 1
time: 231.71 	 beatNum: 2
time: 232.41 	 beatNum: 3
time: 233.10 	 beatNum: 4
time: 233.80 	 beatNum: 1
time: 234.50 	 beatNum: 2
time: 235.17 	 beatNum: 3
time: 235.87 	 beatNum: 4
time: 236.56 	 beatNum: 1
time: 237.24 	 beatNum: 2
time: 237.93 	 beatNum: 3
time: 238.63 	 beatNum: 4
time: 239.33 	 beatNum: 1
time: 240.00 	 beatNum: 2
time: 240.70 	 beatNum: 3
time: 241.39 	 beatNum: 4
time: 242.07 	 beatNum: 5
time: 242.76 	 beatNum: 1
time: 243.46 	 beatNum: 2
time: 244.16 	 beatNum: 3
time: 244.85 	 beatNum: 1
time: 245.55 	 beatNum: 2
time: 246.25 	 beatNum: 3
time: 246.94 	 beatNum: 4
time: 247.62 	 beatNum: 1
time: 248.31 	 beatNum: 2
time: 248.99 	 beatNum: 3
time: 249.68 	 beatNum: 4
time: 250.38 	 beatNum: 1
time: 251.08 	 beatNum: 2
time: 251.77 	 beatNum: 3
time: 252.47 	 beatNum: 4
time: 253.14 	 beatNum: 1
time: 253.84 	 beatNum: 2
time: 254.54 	 beatNum: 3
time: 255.23 	 beatNum: 4
time: 255.93 	 beatNum: 1
time: 256.63 	 beatNum: 2
time: 257.30 	 beatNum: 3
time: 258.00 	 beatNum: 4
time: 258.69 	 beatNum: 1
time: 259.37 	 beatNum: 2
time: 260.06 	 beatNum: 3
time: 260.76 	 beatNum: 4
time: 261.46 	 beatNum: 1
time: 262.15 	 beatNum: 2
time: 262.85 	 beatNum: 3
time: 263.52 	 beatNum: 4
time: 264.22 	 beatNum: 1
time: 264.92 	 beatNum: 2
time: 265.61 	 beatNum: 3
time: 266.29 	 beatNum: 4
time: 266.98 	 beatNum: 1
time: 267.66 	 beatNum: 2
time: 268.35 	 beatNum: 3
time: 269.07 	 beatNum: 4
time: 269.75 	 beatNum: 1
time: 270.44 	 beatNum: 2
time: 271.14 	 beatNum: 3
time: 271.81 	 beatNum: 4
